"Unicode.Code.Point.s.","Emoji","Description","Translated"
"U+1F469 U+1F3FD U+200D U+1F3EB","👩🏽‍🏫","Woman Teacher: Medium Skin Tone","Kadın Öğretmen: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F3EB","👩🏾‍🏫","Woman Teacher: Medium-Dark Skin Tone","Kadın Öğretmen: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F3EB","👩🏿‍🏫","Woman Teacher: Dark Skin Tone","Kadın Öğretmen: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+2696 U+FE0F","🧑🏻‍⚖️","Judge: Light Skin Tone","Yargıç: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+2696 U+FE0F","🧑🏼‍⚖️","Judge: Medium-Light Skin Tone","Yargıç: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+2696 U+FE0F","🧑🏽‍⚖️","Judge: Medium Skin Tone","Yargıç: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+2696 U+FE0F","🧑🏾‍⚖️","Judge: Medium-Dark Skin Tone","Yargıç: Orta-Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+2696 U+FE0F","🧑🏿‍⚖️","Judge: Dark Skin Tone","Hakim: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+2696 U+FE0F","👨🏻‍⚖️","Man Judge: Light Skin Tone","Erkek Hakim: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+2696 U+FE0F","👨🏼‍⚖️","Man Judge: Medium-Light Skin Tone","Adam Hakim: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+2696 U+FE0F","👨🏽‍⚖️","Man Judge: Medium Skin Tone","Erkek Hakim: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+2696 U+FE0F","👨🏾‍⚖️","Man Judge: Medium-Dark Skin Tone","Adam Hakim: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+2696 U+FE0F","👨🏿‍⚖️","Man Judge: Dark Skin Tone","Erkek Hakim: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+2696 U+FE0F","👩🏻‍⚖️","Woman Judge: Light Skin Tone","Kadın Yargıç: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+2696 U+FE0F","👩🏼‍⚖️","Woman Judge: Medium-Light Skin Tone","Kadın Yargıç: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+2696 U+FE0F","👩🏽‍⚖️","Woman Judge: Medium Skin Tone","Kadın Yargıç: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+2696 U+FE0F","👩🏾‍⚖️","Woman Judge: Medium-Dark Skin Tone","Kadın Hakim: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+2696 U+FE0F","👩🏿‍⚖️","Woman Judge: Dark Skin Tone","Kadın Yargıç: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F33E","🧑🏻‍🌾","Farmer: Light Skin Tone","Çiftçi: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F33E","🧑🏼‍🌾","Farmer: Medium-Light Skin Tone","Çiftçi: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F33E","🧑🏽‍🌾","Farmer: Medium Skin Tone","Çiftçi: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F33E","🧑🏾‍🌾","Farmer: Medium-Dark Skin Tone","Çiftçi: Orta-Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+1F33E","🧑🏿‍🌾","Farmer: Dark Skin Tone","Çiftçi: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+1F33E","👨🏻‍🌾","Man Farmer: Light Skin Tone","Erkek Çiftçi: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+1F33E","👨🏼‍🌾","Man Farmer: Medium-Light Skin Tone","Erkek Çiftçi: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+1F33E","👨🏽‍🌾","Man Farmer: Medium Skin Tone","Erkek Çiftçi: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+1F33E","👨🏾‍🌾","Man Farmer: Medium-Dark Skin Tone","Erkek Çiftçi: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+1F33E","👨🏿‍🌾","Man Farmer: Dark Skin Tone","Erkek Çiftçi: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+1F33E","👩🏻‍🌾","Woman Farmer: Light Skin Tone","Kadın Çiftçi: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+1F33E","👩🏼‍🌾","Woman Farmer: Medium-Light Skin Tone","Kadın Çiftçi: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+1F33E","👩🏽‍🌾","Woman Farmer: Medium Skin Tone","Kadın Çiftçi: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F33E","👩🏾‍🌾","Woman Farmer: Medium-Dark Skin Tone","Kadın Çiftçi: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F33E","👩🏿‍🌾","Woman Farmer: Dark Skin Tone","Kadın Çiftçi: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F373","🧑🏻‍🍳","Cook: Light Skin Tone","Aşçı: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F373","🧑🏼‍🍳","Cook: Medium-Light Skin Tone","Aşçı: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F373","🧑🏽‍🍳","Cook: Medium Skin Tone","Aşçı: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F373","🧑🏾‍🍳","Cook: Medium-Dark Skin Tone","Aşçı: Orta-Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+1F373","🧑🏿‍🍳","Cook: Dark Skin Tone","Aşçı: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+1F373","👨🏻‍🍳","Man Cook: Light Skin Tone","Adam Aşçı: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+1F373","👨🏼‍🍳","Man Cook: Medium-Light Skin Tone","Adam Aşçı: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+1F373","👨🏽‍🍳","Man Cook: Medium Skin Tone","Adam Aşçı: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+1F373","👨🏾‍🍳","Man Cook: Medium-Dark Skin Tone","Man Cook: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+1F373","👨🏿‍🍳","Man Cook: Dark Skin Tone","Adam Aşçı: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+1F373","👩🏻‍🍳","Woman Cook: Light Skin Tone","Kadın Aşçı: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+1F373","👩🏼‍🍳","Woman Cook: Medium-Light Skin Tone","Kadın Aşçı: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+1F373","👩🏽‍🍳","Woman Cook: Medium Skin Tone","Kadın Aşçı: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F373","👩🏾‍🍳","Woman Cook: Medium-Dark Skin Tone","Kadın Aşçı: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F373","👩🏿‍🍳","Woman Cook: Dark Skin Tone","Kadın Aşçı: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F527","🧑🏻‍🔧","Mechanic: Light Skin Tone","Tamirci: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F527","🧑🏼‍🔧","Mechanic: Medium-Light Skin Tone","Tamirci: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F527","🧑🏽‍🔧","Mechanic: Medium Skin Tone","Tamirci: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F527","🧑🏾‍🔧","Mechanic: Medium-Dark Skin Tone","Tamirci: Orta-Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+1F527","🧑🏿‍🔧","Mechanic: Dark Skin Tone","Tamirci: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+1F527","👨🏻‍🔧","Man Mechanic: Light Skin Tone","Tamirci Adam: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+1F527","👨🏼‍🔧","Man Mechanic: Medium-Light Skin Tone","Tamirci Adam: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+1F527","👨🏽‍🔧","Man Mechanic: Medium Skin Tone","Tamirci Adam: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+1F527","👨🏾‍🔧","Man Mechanic: Medium-Dark Skin Tone","Tamirci Adam: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+1F527","👨🏿‍🔧","Man Mechanic: Dark Skin Tone","Tamirci Adam: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+1F527","👩🏻‍🔧","Woman Mechanic: Light Skin Tone","Kadın Tamirci: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+1F527","👩🏼‍🔧","Woman Mechanic: Medium-Light Skin Tone","Kadın Tamirci: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+1F527","👩🏽‍🔧","Woman Mechanic: Medium Skin Tone","Kadın Tamirci: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F527","👩🏾‍🔧","Woman Mechanic: Medium-Dark Skin Tone","Kadın Tamirci: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F527","👩🏿‍🔧","Woman Mechanic: Dark Skin Tone","Kadın Tamirci: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F3ED","🧑🏻‍🏭","Factory Worker: Light Skin Tone","Fabrika İşçisi: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F3ED","🧑🏼‍🏭","Factory Worker: Medium-Light Skin Tone","Fabrika İşçisi: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F3ED","🧑🏽‍🏭","Factory Worker: Medium Skin Tone","Fabrika İşçisi: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F3ED","🧑🏾‍🏭","Factory Worker: Medium-Dark Skin Tone","Fabrika İşçisi: Orta Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+1F3ED","🧑🏿‍🏭","Factory Worker: Dark Skin Tone","Fabrika İşçisi: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+1F3ED","👨🏻‍🏭","Man Factory Worker: Light Skin Tone","Erkek Fabrika İşçisi: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+1F3ED","👨🏼‍🏭","Man Factory Worker: Medium-Light Skin Tone","Erkek Fabrika İşçisi: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+1F3ED","👨🏽‍🏭","Man Factory Worker: Medium Skin Tone","Erkek Fabrika İşçisi: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+1F3ED","👨🏾‍🏭","Man Factory Worker: Medium-Dark Skin Tone","Erkek Fabrika İşçisi: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+1F3ED","👨🏿‍🏭","Man Factory Worker: Dark Skin Tone","Erkek Fabrika İşçisi: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+1F3ED","👩🏻‍🏭","Woman Factory Worker: Light Skin Tone","Kadın Fabrika İşçisi: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+1F3ED","👩🏼‍🏭","Woman Factory Worker: Medium-Light Skin Tone","Kadın Fabrika İşçisi: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+1F3ED","👩🏽‍🏭","Woman Factory Worker: Medium Skin Tone","Kadın Fabrika İşçisi: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F3ED","👩🏾‍🏭","Woman Factory Worker: Medium-Dark Skin Tone","Kadın Fabrika İşçisi: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F3ED","👩🏿‍🏭","Woman Factory Worker: Dark Skin Tone","Kadın Fabrika İşçisi: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F4BC","🧑🏻‍💼","Office Worker: Light Skin Tone","Ofis Çalışanı: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F4BC","🧑🏼‍💼","Office Worker: Medium-Light Skin Tone","Ofis Çalışanı: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F4BC","🧑🏽‍💼","Office Worker: Medium Skin Tone","Ofis Çalışanı: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F4BC","🧑🏾‍💼","Office Worker: Medium-Dark Skin Tone","Ofis Çalışanı: Orta Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+1F4BC","🧑🏿‍💼","Office Worker: Dark Skin Tone","Ofis Çalışanı: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+1F4BC","👨🏻‍💼","Man Office Worker: Light Skin Tone","Erkek Ofis Çalışanı: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+1F4BC","👨🏼‍💼","Man Office Worker: Medium-Light Skin Tone","Erkek Ofis Çalışanı: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+1F4BC","👨🏽‍💼","Man Office Worker: Medium Skin Tone","Erkek Ofis Çalışanı: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+1F4BC","👨🏾‍💼","Man Office Worker: Medium-Dark Skin Tone","Erkek Ofis Çalışanı: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+1F4BC","👨🏿‍💼","Man Office Worker: Dark Skin Tone","Erkek Ofis Çalışanı: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+1F4BC","👩🏻‍💼","Woman Office Worker: Light Skin Tone","Kadın Ofis Çalışanı: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+1F4BC","👩🏼‍💼","Woman Office Worker: Medium-Light Skin Tone","Kadın Ofis Çalışanı: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+1F4BC","👩🏽‍💼","Woman Office Worker: Medium Skin Tone","Kadın Ofis Çalışanı: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F4BC","👩🏾‍💼","Woman Office Worker: Medium-Dark Skin Tone","Kadın Ofis Çalışanı: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F4BC","👩🏿‍💼","Woman Office Worker: Dark Skin Tone","Kadın Ofis Çalışanı: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F52C","🧑🏻‍🔬","Scientist: Light Skin Tone","Bilim Adamı: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F52C","🧑🏼‍🔬","Scientist: Medium-Light Skin Tone","Bilim Adamı: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F52C","🧑🏽‍🔬","Scientist: Medium Skin Tone","Bilim Adamı: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F52C","🧑🏾‍🔬","Scientist: Medium-Dark Skin Tone","Bilim Adamı: Orta Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+1F52C","🧑🏿‍🔬","Scientist: Dark Skin Tone","Bilim Adamı: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+1F52C","👨🏻‍🔬","Man Scientist: Light Skin Tone","Erkek Bilim Adamı: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+1F52C","👨🏼‍🔬","Man Scientist: Medium-Light Skin Tone","Erkek Bilim Adamı: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+1F52C","👨🏽‍🔬","Man Scientist: Medium Skin Tone","Erkek Bilim Adamı: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+1F52C","👨🏾‍🔬","Man Scientist: Medium-Dark Skin Tone","Erkek Bilim Adamı: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+1F52C","👨🏿‍🔬","Man Scientist: Dark Skin Tone","Erkek Bilim Adamı: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+1F52C","👩🏻‍🔬","Woman Scientist: Light Skin Tone","Kadın Bilim Adamı: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+1F52C","👩🏼‍🔬","Woman Scientist: Medium-Light Skin Tone","Kadın Bilim Adamı: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+1F52C","👩🏽‍🔬","Woman Scientist: Medium Skin Tone","Kadın Bilim Adamı: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F52C","👩🏾‍🔬","Woman Scientist: Medium-Dark Skin Tone","Kadın Bilim Adamı: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F52C","👩🏿‍🔬","Woman Scientist: Dark Skin Tone","Kadın Bilim Adamı: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F4BB","🧑🏻‍💻","Technologist: Light Skin Tone","Teknoloji Uzmanı: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F4BB","🧑🏼‍💻","Technologist: Medium-Light Skin Tone","Teknoloji Uzmanı: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F4BB","🧑🏽‍💻","Technologist: Medium Skin Tone","Teknoloji Uzmanı: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F4BB","🧑🏾‍💻","Technologist: Medium-Dark Skin Tone","Teknoloji Uzmanı: Orta-Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+1F4BB","🧑🏿‍💻","Technologist: Dark Skin Tone","Teknoloji Uzmanı: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+1F4BB","👨🏻‍💻","Man Technologist: Light Skin Tone","Erkek Teknoloji Uzmanı: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+1F4BB","👨🏼‍💻","Man Technologist: Medium-Light Skin Tone","Erkek Teknoloji Uzmanı: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+1F4BB","👨🏽‍💻","Man Technologist: Medium Skin Tone","Erkek Teknoloji Uzmanı: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+1F4BB","👨🏾‍💻","Man Technologist: Medium-Dark Skin Tone","Erkek Teknoloji Uzmanı: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+1F4BB","👨🏿‍💻","Man Technologist: Dark Skin Tone","Erkek Teknoloji Uzmanı: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+1F4BB","👩🏻‍💻","Woman Technologist: Light Skin Tone","Kadın Teknoloji Uzmanı: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+1F4BB","👩🏼‍💻","Woman Technologist: Medium-Light Skin Tone","Kadın Teknoloji Uzmanı: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+1F4BB","👩🏽‍💻","Woman Technologist: Medium Skin Tone","Kadın Teknoloji Uzmanı: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F4BB","👩🏾‍💻","Woman Technologist: Medium-Dark Skin Tone","Kadın Teknoloji Uzmanı: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F4BB","👩🏿‍💻","Woman Technologist: Dark Skin Tone","Kadın Teknoloji Uzmanı: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F3A4","🧑🏻‍🎤","Singer: Light Skin Tone","Şarkıcı: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F3A4","🧑🏼‍🎤","Singer: Medium-Light Skin Tone","Şarkıcı: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F3A4","🧑🏽‍🎤","Singer: Medium Skin Tone","Şarkıcı: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F3A4","🧑🏾‍🎤","Singer: Medium-Dark Skin Tone","Şarkıcı: Orta-Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+1F3A4","🧑🏿‍🎤","Singer: Dark Skin Tone","Şarkıcı: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+1F3A4","👨🏻‍🎤","Man Singer: Light Skin Tone","Erkek Şarkıcı: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+1F3A4","👨🏼‍🎤","Man Singer: Medium-Light Skin Tone","Erkek Şarkıcı: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+1F3A4","👨🏽‍🎤","Man Singer: Medium Skin Tone","Erkek Şarkıcı: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+1F3A4","👨🏾‍🎤","Man Singer: Medium-Dark Skin Tone","Erkek Şarkıcı: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+1F3A4","👨🏿‍🎤","Man Singer: Dark Skin Tone","Erkek Şarkıcı: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+1F3A4","👩🏻‍🎤","Woman Singer: Light Skin Tone","Kadın Şarkıcı: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+1F3A4","👩🏼‍🎤","Woman Singer: Medium-Light Skin Tone","Kadın Şarkıcı: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+1F3A4","👩🏽‍🎤","Woman Singer: Medium Skin Tone","Kadın Şarkıcı: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F3A4","👩🏾‍🎤","Woman Singer: Medium-Dark Skin Tone","Kadın Şarkıcı: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F3A4","👩🏿‍🎤","Woman Singer: Dark Skin Tone","Kadın Şarkıcı: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F3A8","🧑🏻‍🎨","Artist: Light Skin Tone","Sanatçı: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F3A8","🧑🏼‍🎨","Artist: Medium-Light Skin Tone","Sanatçı: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F3A8","🧑🏽‍🎨","Artist: Medium Skin Tone","Sanatçı: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F3A8","🧑🏾‍🎨","Artist: Medium-Dark Skin Tone","Sanatçı: Orta Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+1F3A8","🧑🏿‍🎨","Artist: Dark Skin Tone","Sanatçı: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+1F3A8","👨🏻‍🎨","Man Artist: Light Skin Tone","Erkek Sanatçı: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+1F3A8","👨🏼‍🎨","Man Artist: Medium-Light Skin Tone","Erkek Sanatçı: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+1F3A8","👨🏽‍🎨","Man Artist: Medium Skin Tone","Erkek Sanatçı: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+1F3A8","👨🏾‍🎨","Man Artist: Medium-Dark Skin Tone","Erkek Sanatçı: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+1F3A8","👨🏿‍🎨","Man Artist: Dark Skin Tone","Erkek Sanatçı: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+1F3A8","👩🏻‍🎨","Woman Artist: Light Skin Tone","Kadın Sanatçı: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+1F3A8","👩🏼‍🎨","Woman Artist: Medium-Light Skin Tone","Kadın Sanatçı: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+1F3A8","👩🏽‍🎨","Woman Artist: Medium Skin Tone","Kadın Sanatçı: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+1F3A8","👩🏾‍🎨","Woman Artist: Medium-Dark Skin Tone","Kadın Sanatçı: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+1F3A8","👩🏿‍🎨","Woman Artist: Dark Skin Tone","Kadın Sanatçı: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+2708 U+FE0F","🧑🏻‍✈️","Pilot: Light Skin Tone","Pilot: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+2708 U+FE0F","🧑🏼‍✈️","Pilot: Medium-Light Skin Tone","Pilot: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+2708 U+FE0F","🧑🏽‍✈️","Pilot: Medium Skin Tone","Pilot: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+2708 U+FE0F","🧑🏾‍✈️","Pilot: Medium-Dark Skin Tone","Pilot: Orta-Koyu Cilt Tonu"
"U+1F9D1 U+1F3FF U+200D U+2708 U+FE0F","🧑🏿‍✈️","Pilot: Dark Skin Tone","Pilot: Koyu Cilt Tonu"
"U+1F468 U+1F3FB U+200D U+2708 U+FE0F","👨🏻‍✈️","Man Pilot: Light Skin Tone","Erkek Pilot: Açık Cilt Tonu"
"U+1F468 U+1F3FC U+200D U+2708 U+FE0F","👨🏼‍✈️","Man Pilot: Medium-Light Skin Tone","Erkek Pilot: Orta Açık Cilt Tonu"
"U+1F468 U+1F3FD U+200D U+2708 U+FE0F","👨🏽‍✈️","Man Pilot: Medium Skin Tone","Erkek Pilot: Orta Cilt Tonu"
"U+1F468 U+1F3FE U+200D U+2708 U+FE0F","👨🏾‍✈️","Man Pilot: Medium-Dark Skin Tone","Erkek Pilot: Orta Koyu Cilt Tonu"
"U+1F468 U+1F3FF U+200D U+2708 U+FE0F","👨🏿‍✈️","Man Pilot: Dark Skin Tone","Erkek Pilot: Koyu Cilt Tonu"
"U+1F469 U+1F3FB U+200D U+2708 U+FE0F","👩🏻‍✈️","Woman Pilot: Light Skin Tone","Kadın Pilot: Açık Cilt Tonu"
"U+1F469 U+1F3FC U+200D U+2708 U+FE0F","👩🏼‍✈️","Woman Pilot: Medium-Light Skin Tone","Kadın Pilot: Orta Açık Cilt Tonu"
"U+1F469 U+1F3FD U+200D U+2708 U+FE0F","👩🏽‍✈️","Woman Pilot: Medium Skin Tone","Kadın Pilot: Orta Cilt Tonu"
"U+1F469 U+1F3FE U+200D U+2708 U+FE0F","👩🏾‍✈️","Woman Pilot: Medium-Dark Skin Tone","Kadın Pilot: Orta Koyu Cilt Tonu"
"U+1F469 U+1F3FF U+200D U+2708 U+FE0F","👩🏿‍✈️","Woman Pilot: Dark Skin Tone","Kadın Pilot: Koyu Cilt Tonu"
"U+1F9D1 U+1F3FB U+200D U+1F680","🧑🏻‍🚀","Astronaut: Light Skin Tone","Astronot: Açık Cilt Tonu"
"U+1F9D1 U+1F3FC U+200D U+1F680","🧑🏼‍🚀","Astronaut: Medium-Light Skin Tone","Astronot: Orta Açık Cilt Tonu"
"U+1F9D1 U+1F3FD U+200D U+1F680","🧑🏽‍🚀","Astronaut: Medium Skin Tone","Astronot: Orta Cilt Tonu"
"U+1F9D1 U+1F3FE U+200D U+1F680","🧑🏾‍🚀","Astronaut: Medium-Dark Skin Tone","Astronot: Orta-Koyu Cilt Tonu"
